ExternalID,Name,CategoryExternalId,ProductPageUrl,ImageUrl,EAN,ManufacturerPartNumber,UPC,ISBN
0 73796330316,Omron electroTHERAPY TENS Pain Relief Pro Unit,electrotherapy-tens-units,http://omronhealthcare.com/products/electrotherapy-tens-pain-relief-pro-unit-pm3031/,http://omronhealthcare.com/wp-content/uploads/pm3031-front-200x115.jpg,,PM3031,0 73796330316,
0 73796226145,Omron electroTHERAPY TENS Standard Pad,electrotherapy-tens-accessories,http://omronhealthcare.com/products/long-life-pads/,http://omronhealthcare.com/wp-content/uploads/pmllpad-duo-200x115.jpg,,PMLLPAD,0 73796226145,
0 73796261429,Omron electroTHERAPY TENS Large Pad,electrotherapy-tens-accessories,http://omronhealthcare.com/products/electrotherapy-tens-long-life-pads-large-pmllpad-l/,http://omronhealthcare.com/wp-content/uploads/pmllpadl-front-200x115.jpg,,PMLLPADL,0 73796261429,
0 73796882105,Omron Heart Rate Monitor,heart-rate-monitors,http://omronhealthcare.com/products/strap-free-heart-rate-monitor-hr210/,http://omronhealthcare.com/wp-content/uploads/hr210-front-200x115.jpg,,HR210,0 73796882105,
0 73796883102,Omron Strapless Heart Rate Monitor,heart-rate-monitors,http://omronhealthcare.com/products/heart-rate-monitor-chest-strap-hr310/,http://omronhealthcare.com/wp-content/uploads/hr310-front-200x115.jpg,,HR310,0 73796883102,
0 73796801601,Omron Alvita Pedometer,pedometers,http://omronhealthcare.com/products/alvita-tri-axis-pedometer-two-modes-hj320/,http://omronhealthcare.com/wp-content/uploads/hj320-front-200x115.jpg,,HJ320,0 73796801601,
0 73796801618,Omron Alvita Optimized Pedometer,pedometers,http://omronhealthcare.com/products/alvita-optimized-tri-axis-pedometer-four-modes-hj321/,http://omronhealthcare.com/wp-content/uploads/hj321-front-200x115.jpg,,HJ321,0 73796801618,
0 73796032319,Omron Alvita USB Pedometer,pedometers,http://omronhealthcare.com/products/tri-axis-usb-pedometer-five-modes-web-hj323u/,http://omronhealthcare.com/wp-content/uploads/hj323u-front-200x115.jpg,,HJ323U,0 73796032319,
0 73796032418,Omron Tri-Axis USB Pedometer,pedometers,http://omronhealthcare.com/products/tri-axis-usb-pedometer-five-modes-web-hj324u/,http://omronhealthcare.com/wp-content/uploads/hj324-front1-200x115.jpg,,HJ324U,0 73796032418,
0 73796826406,Omron Fat Loss Monitor With Scale,body-composition-monitor-scale,http://omronhealthcare.com/products/fat-loss-monitor-with-scale-hbf-400/,http://omronhealthcare.com/wp-content/uploads/hbf400-angle-200x115.jpg,,HBF400,0 73796826406,
0 73796306304,Omron Fat Loss Monitor,body-composition-monitor-scale,http://omronhealthcare.com/products/fat-loss-monitor-hbf306c/,http://omronhealthcare.com/wp-content/uploads/hbf306c-front-200x115.jpg,,HBF306C,0 73796306304,
0 73796265106,Omron Body Composition Monitor and Scale With Five Fitness Indicators,body-composition-monitor-scale,http://omronhealthcare.com/products/body-composition-scale-five-indicators-hbf510w/,http://omronhealthcare.com/wp-content/uploads/hbf510-angle-200x115.jpg,,HBF510W,0 73796265106,
0 73796265144,Omron Body Composition Monitor and Scale With Seven Fitness Indicators,body-composition-monitor-scale,http://omronhealthcare.com/products/body-composition-monitor-scale-seven-indicators-hbf514c/,http://omronhealthcare.com/wp-content/uploads/hbf514c-angle-200x115.jpg,,HBF514C,0 73796265144,
0 73796265168,Omron Body Composition Monitor and Scale With Seven Fitness Indicators,body-composition-monitor-scale,http://omronhealthcare.com/products/body-composition-monitor-scale-seven-indicators-hbf516b/,http://omronhealthcare.com/wp-content/uploads/hbf516b-angle-200x115.jpg,,HBF516B,0 73796265168,
0 73796800345,Omron Large Blood Pressure Cuff,blood-pressure-monitor-accessories,http://omronhealthcare.com/products/large-cuff-h003d/,http://omronhealthcare.com/wp-content/uploads/h003d-angle-200x115.jpg,,H003D,0 73796800345,
0 73796800369,Omron Small Blood Pressure Cuff,blood-pressure-monitor-accessories,http://omronhealthcare.com/products/small-cuff-h003ds/,http://omronhealthcare.com/wp-content/uploads/h003ds-angle-200x115.jpg,,H003DS,0 73796800369,
0 73796832223,Omron ComFit Blood Pressure Cuff,blood-pressure-monitor-accessories,http://omronhealthcare.com/products/comfit-cuff-hcl22/,http://omronhealthcare.com/wp-content/uploads/hcl22-angle-200x115.jpg,,HCL22,0 73796832223,
0 73796838249,Omron Standard Blood Pressure Cuff,blood-pressure-monitor-accessories,http://omronhealthcare.com/products/standard-cuff-hcr24/,http://omronhealthcare.com/wp-content/uploads/hcr24-angle-200x115.jpg,,HCR24,0 73796838249,
0 73796146054,Omron Blood Pressure AC Adapter,blood-pressure-monitor-accessories,http://omronhealthcare.com/products/acadapter-hemadtpw5/,http://omronhealthcare.com/wp-content/uploads/hemadptw5-front-200x115.jpg,,HEMADPTW5,0 73796146054,
0 73796009021,Omron Printer Paper for HEM705CP,blood-pressure-monitor-accessories,http://omronhealthcare.com/products/printerpaper-0090trp/,http://omronhealthcare.com/wp-content/uploads/0090trp-front-200x115.jpg,,0090TRP,0 73796009021,
0 73796903299,Omron Pedometer Clip and Strap,pedometer-accessories,http://omronhealthcare.com/products/pedometer-strap-clip-ped-stcls/,http://omronhealthcare.com/wp-content/uploads/pedstcls-front-200x115.jpg,,PEDSCTLS,0 73796903299,
0 73796803124,Omron Activity Monitor,activity-monitor,http://omronhealthcare.com/products/activity-monitor-hja312/,http://omronhealthcare.com/wp-content/uploads/hja312-front-200x115.jpg,,HJA312,0 73796803124,
0 73796463083,Omron NFC Trap For Activity Monitor,activity-monitor-accessory,http://omronhealthcare.com/products/nfc-communication-tray-hhxit3z/,http://omronhealthcare.com/wp-content/uploads/hhxit3z-front-200x115.jpg,,HHXIT3Z,0 73796463083,
0 73796803292,Omron Alvita Ultimate Pedometer,pedometers,http://omronhealthcare.com/products/alvita-ultimate-pedometer-hj329/,http://omronhealthcare.com/wp-content/uploads/hj329-front-200x115.jpg,,HJ329,0 73796803292,
0 73796931001,Omron Digital Scale,body-composition-monitor-scale,http://omronhealthcare.com/products/digital-scale-sc100/,http://omronhealthcare.com/wp-content/uploads/sc100-front-200x115.jpg,,SC100,0 73796931001,
0 73796032210,Omron Avita USB Pedometer,pedometers,http://omronhealthcare.com/products/alvita-usb-pedometer-hj322u/,http://omronhealthcare.com/wp-content/uploads/hj322u-front-200x115.jpg,,HJ322U,0 73796032210,
0 73796803254,Omron Alvita Ultimate Pedometer,pedometers,http://omronhealthcare.com/products/alvita-ultimate-pedometer-hj325/,http://omronhealthcare.com/wp-content/uploads/hj325-front-200x115.jpg,,HJ325,0 73796803254,
